readGroup	alignedLength	count
SRR5663650	58	18
SRR5663650	59	19
SRR5663650	60	17
SRR5663650	61	16
SRR5663650	62	17
SRR5663650	63	17
SRR5663650	64	16
SRR5663650	65	17
SRR5663650	66	15
SRR5663650	67	11
SRR5663650	68	11
SRR5663650	69	19
SRR5663650	70	16
SRR5663650	71	16
SRR5663650	72	23
SRR5663650	73	33
SRR5663650	74	45
SRR5663650	75	66
SRR5663650	76	90
SRR5663650	77	96
SRR5663650	78	137
SRR5663650	79	169
SRR5663650	80	248
SRR5663650	81	313
SRR5663650	82	462
SRR5663650	83	582
SRR5663650	84	4353
SRR5663650	85	4247
SRR5663650	86	4782
SRR5663650	87	4911
SRR5663650	88	5897
SRR5663650	89	5806
SRR5663650	90	6893
SRR5663650	91	7408
SRR5663650	92	9020
SRR5663650	93	10694
SRR5663650	94	17265
SRR5663650	95	48873
SRR5663650	96	177000
SRR5663650	97	670758
SRR5663650	98	1994513
SRR5663650	99	7296007
SRR5663650	100	16987433
