readGroup	alignedLength	count
allReadGroups	27	3
allReadGroups	28	12
allReadGroups	29	18
allReadGroups	30	15520
allReadGroups	31	15516
allReadGroups	32	15615
allReadGroups	33	15437
allReadGroups	34	15638
allReadGroups	35	15464
allReadGroups	36	15354
allReadGroups	37	15711
allReadGroups	38	15719
allReadGroups	39	15673
allReadGroups	40	15712
allReadGroups	41	15569
allReadGroups	42	15584
allReadGroups	43	15781
allReadGroups	44	15617
allReadGroups	45	15479
allReadGroups	46	15731
allReadGroups	47	15732
allReadGroups	48	15560
allReadGroups	49	15720
allReadGroups	50	15926
allReadGroups	51	15660
allReadGroups	52	15582
allReadGroups	53	15732
allReadGroups	54	15804
allReadGroups	55	15610
allReadGroups	56	15525
allReadGroups	57	15672
allReadGroups	58	16023
allReadGroups	59	15893
allReadGroups	60	15776
allReadGroups	61	15563
allReadGroups	62	15838
allReadGroups	63	15759
allReadGroups	64	15619
allReadGroups	65	15783
allReadGroups	66	15679
allReadGroups	67	15588
allReadGroups	68	15631
allReadGroups	69	15896
allReadGroups	70	15854
allReadGroups	71	15761
allReadGroups	72	16401
allReadGroups	73	16908
allReadGroups	74	17708
allReadGroups	75	18309
allReadGroups	76	19746
allReadGroups	77	20432
allReadGroups	78	22909
allReadGroups	79	25168
allReadGroups	80	29921
allReadGroups	81	30583
allReadGroups	82	38971
allReadGroups	83	41750
allReadGroups	84	60475
allReadGroups	85	62677
allReadGroups	86	81413
allReadGroups	87	86964
allReadGroups	88	135832
allReadGroups	89	158882
allReadGroups	90	284802
allReadGroups	91	276307
allReadGroups	92	369752
allReadGroups	93	510750
allReadGroups	94	1327178
allReadGroups	95	2930169
allReadGroups	96	12017397
allReadGroups	97	40787849
allReadGroups	98	133387088
allReadGroups	99	390989249
allReadGroups	100	1260617963
SRR5663646	27	1
SRR5663646	28	4
SRR5663646	29	2
SRR5663646	30	4490
SRR5663646	31	4376
SRR5663646	32	4419
SRR5663646	33	4458
SRR5663646	34	4471
SRR5663646	35	4459
SRR5663646	36	4385
SRR5663646	37	4499
SRR5663646	38	4510
SRR5663646	39	4457
SRR5663646	40	4566
SRR5663646	41	4448
SRR5663646	42	4492
SRR5663646	43	4638
SRR5663646	44	4493
SRR5663646	45	4385
SRR5663646	46	4536
SRR5663646	47	4588
SRR5663646	48	4454
SRR5663646	49	4431
SRR5663646	50	4623
SRR5663646	51	4615
SRR5663646	52	4498
SRR5663646	53	4633
SRR5663646	54	4511
SRR5663646	55	4572
SRR5663646	56	4481
SRR5663646	57	4556
SRR5663646	58	4559
SRR5663646	59	4613
SRR5663646	60	4448
SRR5663646	61	4471
SRR5663646	62	4554
SRR5663646	63	4589
SRR5663646	64	4533
SRR5663646	65	4602
SRR5663646	66	4488
SRR5663646	67	4539
SRR5663646	68	4453
SRR5663646	69	4660
SRR5663646	70	4508
SRR5663646	71	4523
SRR5663646	72	4673
SRR5663646	73	4877
SRR5663646	74	5092
SRR5663646	75	5263
SRR5663646	76	5666
SRR5663646	77	5813
SRR5663646	78	6578
SRR5663646	79	7182
SRR5663646	80	8374
SRR5663646	81	8598
SRR5663646	82	10895
SRR5663646	83	11653
SRR5663646	84	15720
SRR5663646	85	16661
SRR5663646	86	21640
SRR5663646	87	23227
SRR5663646	88	36486
SRR5663646	89	43147
SRR5663646	90	78508
SRR5663646	91	75682
SRR5663646	92	101309
SRR5663646	93	139225
SRR5663646	94	369273
SRR5663646	95	807481
SRR5663646	96	3333283
SRR5663646	97	11071931
SRR5663646	98	37004658
SRR5663646	99	106897622
SRR5663646	100	357524782
SRR5663647	27	2
SRR5663647	28	6
SRR5663647	29	8
SRR5663647	30	6411
SRR5663647	31	6550
SRR5663647	32	6464
SRR5663647	33	6442
SRR5663647	34	6540
SRR5663647	35	6357
SRR5663647	36	6382
SRR5663647	37	6543
SRR5663647	38	6584
SRR5663647	39	6580
SRR5663647	40	6591
SRR5663647	41	6556
SRR5663647	42	6475
SRR5663647	43	6586
SRR5663647	44	6592
SRR5663647	45	6475
SRR5663647	46	6533
SRR5663647	47	6439
SRR5663647	48	6541
SRR5663647	49	6560
SRR5663647	50	6651
SRR5663647	51	6446
SRR5663647	52	6471
SRR5663647	53	6450
SRR5663647	54	6626
SRR5663647	55	6534
SRR5663647	56	6499
SRR5663647	57	6642
SRR5663647	58	6840
SRR5663647	59	6660
SRR5663647	60	6626
SRR5663647	61	6538
SRR5663647	62	6624
SRR5663647	63	6554
SRR5663647	64	6511
SRR5663647	65	6620
SRR5663647	66	6596
SRR5663647	67	6437
SRR5663647	68	6578
SRR5663647	69	6560
SRR5663647	70	6762
SRR5663647	71	6619
SRR5663647	72	6960
SRR5663647	73	7073
SRR5663647	74	7497
SRR5663647	75	7752
SRR5663647	76	8330
SRR5663647	77	8616
SRR5663647	78	9815
SRR5663647	79	10721
SRR5663647	80	12980
SRR5663647	81	13231
SRR5663647	82	16838
SRR5663647	83	18108
SRR5663647	84	24824
SRR5663647	85	25584
SRR5663647	86	34043
SRR5663647	87	36139
SRR5663647	88	57393
SRR5663647	89	67559
SRR5663647	90	121496
SRR5663647	91	117757
SRR5663647	92	157762
SRR5663647	93	222494
SRR5663647	94	574637
SRR5663647	95	1279482
SRR5663647	96	5247237
SRR5663647	97	18278079
SRR5663647	98	58411913
SRR5663647	99	173031144
SRR5663647	100	540894935
SRR5663648	28	1
SRR5663648	29	4
SRR5663648	30	1130
SRR5663648	31	1198
SRR5663648	32	1182
SRR5663648	33	1141
SRR5663648	34	1151
SRR5663648	35	1099
SRR5663648	36	1131
SRR5663648	37	1177
SRR5663648	38	1136
SRR5663648	39	1168
SRR5663648	40	1182
SRR5663648	41	1106
SRR5663648	42	1114
SRR5663648	43	1147
SRR5663648	44	1068
SRR5663648	45	1117
SRR5663648	46	1142
SRR5663648	47	1119
SRR5663648	48	1060
SRR5663648	49	1123
SRR5663648	50	1168
SRR5663648	51	1147
SRR5663648	52	1093
SRR5663648	53	1142
SRR5663648	54	1062
SRR5663648	55	1075
SRR5663648	56	1078
SRR5663648	57	1044
SRR5663648	58	1045
SRR5663648	59	1091
SRR5663648	60	1110
SRR5663648	61	1045
SRR5663648	62	1070
SRR5663648	63	1067
SRR5663648	64	1025
SRR5663648	65	1044
SRR5663648	66	1055
SRR5663648	67	1075
SRR5663648	68	1105
SRR5663648	69	1080
SRR5663648	70	1068
SRR5663648	71	1028
SRR5663648	72	1143
SRR5663648	73	1159
SRR5663648	74	1131
SRR5663648	75	1110
SRR5663648	76	1226
SRR5663648	77	1308
SRR5663648	78	1393
SRR5663648	79	1471
SRR5663648	80	1760
SRR5663648	81	1776
SRR5663648	82	2254
SRR5663648	83	2494
SRR5663648	84	3320
SRR5663648	85	3435
SRR5663648	86	4524
SRR5663648	87	4840
SRR5663648	88	7495
SRR5663648	89	8996
SRR5663648	90	16373
SRR5663648	91	15847
SRR5663648	92	21637
SRR5663648	93	29565
SRR5663648	94	77978
SRR5663648	95	169238
SRR5663648	96	679737
SRR5663648	97	2262463
SRR5663648	98	7415253
SRR5663648	99	21497398
SRR5663648	100	69154450
SRR5663649	28	1
SRR5663649	29	4
SRR5663649	30	3469
SRR5663649	31	3377
SRR5663649	32	3535
SRR5663649	33	3376
SRR5663649	34	3453
SRR5663649	35	3527
SRR5663649	36	3436
SRR5663649	37	3474
SRR5663649	38	3471
SRR5663649	39	3458
SRR5663649	40	3358
SRR5663649	41	3446
SRR5663649	42	3485
SRR5663649	43	3396
SRR5663649	44	3445
SRR5663649	45	3478
SRR5663649	46	3505
SRR5663649	47	3566
SRR5663649	48	3494
SRR5663649	49	3587
SRR5663649	50	3466
SRR5663649	51	3433
SRR5663649	52	3504
SRR5663649	53	3486
SRR5663649	54	3590
SRR5663649	55	3418
SRR5663649	56	3448
SRR5663649	57	3405
SRR5663649	58	3561
SRR5663649	59	3510
SRR5663649	60	3575
SRR5663649	61	3493
SRR5663649	62	3573
SRR5663649	63	3532
SRR5663649	64	3534
SRR5663649	65	3500
SRR5663649	66	3525
SRR5663649	67	3526
SRR5663649	68	3484
SRR5663649	69	3577
SRR5663649	70	3500
SRR5663649	71	3575
SRR5663649	72	3602
SRR5663649	73	3766
SRR5663649	74	3943
SRR5663649	75	4118
SRR5663649	76	4434
SRR5663649	77	4599
SRR5663649	78	4986
SRR5663649	79	5625
SRR5663649	80	6559
SRR5663649	81	6665
SRR5663649	82	8522
SRR5663649	83	8913
SRR5663649	84	12258
SRR5663649	85	12750
SRR5663649	86	16424
SRR5663649	87	17847
SRR5663649	88	28561
SRR5663649	89	33374
SRR5663649	90	61532
SRR5663649	91	59613
SRR5663649	92	80024
SRR5663649	93	108772
SRR5663649	94	288025
SRR5663649	95	625095
SRR5663649	96	2580140
SRR5663649	97	8504618
SRR5663649	98	28560751
SRR5663649	99	82267078
SRR5663649	100	276056363
SRR5663650	30	20
SRR5663650	31	15
SRR5663650	32	15
SRR5663650	33	20
SRR5663650	34	23
SRR5663650	35	22
SRR5663650	36	20
SRR5663650	37	18
SRR5663650	38	18
SRR5663650	39	10
SRR5663650	40	15
SRR5663650	41	13
SRR5663650	42	18
SRR5663650	43	14
SRR5663650	44	19
SRR5663650	45	24
SRR5663650	46	15
SRR5663650	47	20
SRR5663650	48	11
SRR5663650	49	19
SRR5663650	50	18
SRR5663650	51	19
SRR5663650	52	16
SRR5663650	53	21
SRR5663650	54	15
SRR5663650	55	11
SRR5663650	56	19
SRR5663650	57	25
