readGroup	readLength	count
allReadGroups	30	15516
allReadGroups	31	15514
allReadGroups	32	15611
allReadGroups	33	15437
allReadGroups	34	15637
allReadGroups	35	15454
allReadGroups	36	15352
allReadGroups	37	15710
allReadGroups	38	15713
allReadGroups	39	15679
allReadGroups	40	15705
allReadGroups	41	15554
allReadGroups	42	15581
allReadGroups	43	15776
allReadGroups	44	15617
allReadGroups	45	15462
allReadGroups	46	15741
allReadGroups	47	15718
allReadGroups	48	15562
allReadGroups	49	15701
allReadGroups	50	15927
allReadGroups	51	15671
allReadGroups	52	15577
allReadGroups	53	15709
allReadGroups	54	15804
allReadGroups	55	15612
allReadGroups	56	15548
allReadGroups	57	15671
allReadGroups	58	16006
allReadGroups	59	15878
allReadGroups	60	15760
allReadGroups	61	15565
allReadGroups	62	15819
allReadGroups	63	15755
allReadGroups	64	15641
allReadGroups	65	15749
allReadGroups	66	15664
allReadGroups	67	15577
allReadGroups	68	15630
allReadGroups	69	15859
allReadGroups	70	15694
allReadGroups	71	15399
allReadGroups	72	15634
allReadGroups	73	15795
allReadGroups	74	15808
allReadGroups	75	15689
allReadGroups	76	15776
allReadGroups	77	15754
allReadGroups	78	15649
allReadGroups	79	15976
allReadGroups	80	15623
allReadGroups	81	15590
allReadGroups	82	15843
allReadGroups	83	15426
allReadGroups	84	19092
allReadGroups	85	19170
allReadGroups	86	19244
allReadGroups	87	19381
allReadGroups	88	23340
allReadGroups	89	57583
allReadGroups	90	133493
allReadGroups	91	113526
allReadGroups	92	90953
allReadGroups	93	223718
allReadGroups	94	789617
allReadGroups	95	2073694
allReadGroups	96	10248110
allReadGroups	97	38702561
allReadGroups	98	130305758
allReadGroups	99	388030769
allReadGroups	100	1273325765
SRR5663646	30	4487
SRR5663646	31	4374
SRR5663646	32	4420
SRR5663646	33	4457
SRR5663646	34	4471
SRR5663646	35	4460
SRR5663646	36	4386
SRR5663646	37	4494
SRR5663646	38	4507
SRR5663646	39	4458
SRR5663646	40	4561
SRR5663646	41	4447
SRR5663646	42	4495
SRR5663646	43	4632
SRR5663646	44	4494
SRR5663646	45	4380
SRR5663646	46	4535
SRR5663646	47	4583
SRR5663646	48	4459
SRR5663646	49	4432
SRR5663646	50	4620
SRR5663646	51	4614
SRR5663646	52	4497
SRR5663646	53	4624
SRR5663646	54	4519
SRR5663646	55	4566
SRR5663646	56	4481
SRR5663646	57	4561
SRR5663646	58	4555
SRR5663646	59	4604
SRR5663646	60	4446
SRR5663646	61	4468
SRR5663646	62	4543
SRR5663646	63	4589
SRR5663646	64	4534
SRR5663646	65	4597
SRR5663646	66	4497
SRR5663646	67	4529
SRR5663646	68	4458
SRR5663646	69	4649
SRR5663646	70	4460
SRR5663646	71	4419
SRR5663646	72	4481
SRR5663646	73	4576
SRR5663646	74	4561
SRR5663646	75	4528
SRR5663646	76	4603
SRR5663646	77	4573
SRR5663646	78	4634
SRR5663646	79	4675
SRR5663646	80	4491
SRR5663646	81	4490
SRR5663646	82	4713
SRR5663646	83	4521
SRR5663646	84	4473
SRR5663646	85	4568
SRR5663646	86	4577
SRR5663646	87	4576
SRR5663646	88	5604
SRR5663646	89	15378
SRR5663646	90	36587
SRR5663646	91	30979
SRR5663646	92	23999
SRR5663646	93	60109
SRR5663646	94	217939
SRR5663646	95	563393
SRR5663646	96	2828172
SRR5663646	97	10471844
SRR5663646	98	36121402
SRR5663646	99	105980895
SRR5663646	100	361216187
SRR5663647	30	6410
SRR5663647	31	6548
SRR5663647	32	6463
SRR5663647	33	6443
SRR5663647	34	6537
SRR5663647	35	6359
SRR5663647	36	6375
SRR5663647	37	6546
SRR5663647	38	6587
SRR5663647	39	6578
SRR5663647	40	6587
SRR5663647	41	6550
SRR5663647	42	6467
SRR5663647	43	6589
SRR5663647	44	6595
SRR5663647	45	6470
SRR5663647	46	6534
SRR5663647	47	6438
SRR5663647	48	6538
SRR5663647	49	6548
SRR5663647	50	6652
SRR5663647	51	6455
SRR5663647	52	6470
SRR5663647	53	6439
SRR5663647	54	6622
SRR5663647	55	6539
SRR5663647	56	6509
SRR5663647	57	6640
SRR5663647	58	6837
SRR5663647	59	6659
SRR5663647	60	6617
SRR5663647	61	6543
SRR5663647	62	6622
SRR5663647	63	6541
SRR5663647	64	6528
SRR5663647	65	6601
SRR5663647	66	6585
SRR5663647	67	6434
SRR5663647	68	6571
SRR5663647	69	6545
SRR5663647	70	6705
SRR5663647	71	6454
SRR5663647	72	6595
SRR5663647	73	6553
SRR5663647	74	6658
SRR5663647	75	6600
SRR5663647	76	6570
SRR5663647	77	6515
SRR5663647	78	6609
SRR5663647	79	6597
SRR5663647	80	6632
SRR5663647	81	6543
SRR5663647	82	6544
SRR5663647	83	6433
SRR5663647	84	6457
SRR5663647	85	6478
SRR5663647	86	6487
SRR5663647	87	6499
SRR5663647	88	8226
SRR5663647	89	23161
SRR5663647	90	56365
SRR5663647	91	47809
SRR5663647	92	39581
SRR5663647	93	101416
SRR5663647	94	353793
SRR5663647	95	935647
SRR5663647	96	4535355
SRR5663647	97	17445988
SRR5663647	98	57178546
SRR5663647	99	171913591
SRR5663647	100	545966482
SRR5663648	30	1131
SRR5663648	31	1198
SRR5663648	32	1180
SRR5663648	33	1141
SRR5663648	34	1153
SRR5663648	35	1094
SRR5663648	36	1133
SRR5663648	37	1178
SRR5663648	38	1134
SRR5663648	39	1169
SRR5663648	40	1184
SRR5663648	41	1106
SRR5663648	42	1117
SRR5663648	43	1145
SRR5663648	44	1063
SRR5663648	45	1114
SRR5663648	46	1148
SRR5663648	47	1113
SRR5663648	48	1065
SRR5663648	49	1122
SRR5663648	50	1170
SRR5663648	51	1145
SRR5663648	52	1089
SRR5663648	53	1140
SRR5663648	54	1059
SRR5663648	55	1084
SRR5663648	56	1081
SRR5663648	57	1043
SRR5663648	58	1042
SRR5663648	59	1087
SRR5663648	60	1114
SRR5663648	61	1043
SRR5663648	62	1065
SRR5663648	63	1070
SRR5663648	64	1025
SRR5663648	65	1039
SRR5663648	66	1054
SRR5663648	67	1074
SRR5663648	68	1104
SRR5663648	69	1085
SRR5663648	70	1051
SRR5663648	71	1015
SRR5663648	72	1092
SRR5663648	73	1088
