readGroup	alignedLength	count
SRR14572852	40	951
SRR14572852	41	1012
SRR14572852	42	1109
SRR14572852	43	1213
SRR14572852	44	1312
SRR14572852	45	1498
SRR14572852	46	1624
SRR14572852	47	1789
SRR14572852	48	1989
SRR14572852	49	2278
SRR14572852	50	2410
SRR14572852	51	2467
SRR14572852	52	2453
SRR14572852	53	2604
SRR14572852	54	2728
SRR14572852	55	2967
SRR14572852	56	3219
SRR14572852	57	3349
SRR14572852	58	3629
SRR14572852	59	4047
SRR14572852	60	4082
SRR14572852	61	4006
SRR14572852	62	3974
SRR14572852	63	4316
SRR14572852	64	4188
SRR14572852	65	4657
SRR14572852	66	5022
SRR14572852	67	5074
SRR14572852	68	5542
SRR14572852	69	6170
SRR14572852	70	6135
SRR14572852	71	6348
SRR14572852	72	6189
SRR14572852	73	5940
SRR14572852	74	6183
SRR14572852	75	6479
SRR14572852	76	7138
SRR14572852	77	7717
SRR14572852	78	9363
SRR14572852	79	12072
SRR14572852	80	14376
SRR14572852	81	14079
SRR14572852	82	11673
SRR14572852	83	10189
SRR14572852	84	9787
SRR14572852	85	10217
SRR14572852	86	10709
SRR14572852	87	11654
SRR14572852	88	13142
SRR14572852	89	15960
SRR14572852	90	21077
SRR14572852	91	26221
SRR14572852	92	27345
SRR14572852	93	23640
SRR14572852	94	20737
SRR14572852	95	20449
SRR14572852	96	22140
SRR14572852	97	24807
SRR14572852	98	28357
SRR14572852	99	33139
SRR14572852	100	38182
SRR14572852	101	42070
SRR14572852	102	42787
SRR14572852	103	43346
SRR14572852	104	41576
SRR14572852	105	40917
SRR14572852	106	42835
SRR14572852	107	46967
SRR14572852	108	52991
SRR14572852	109	59791
SRR14572852	110	68602
SRR14572852	111	79720
SRR14572852	112	81945
SRR14572852	113	78449
SRR14572852	114	72777
SRR14572852	115	72619
SRR14572852	116	77287
SRR14572852	117	84263
SRR14572852	118	92647
SRR14572852	119	106876
SRR14572852	120	128258
SRR14572852	121	154152
SRR14572852	122	171221
SRR14572852	123	167247
SRR14572852	124	144440
SRR14572852	125	126759
SRR14572852	126	123616
SRR14572852	127	130630
SRR14572852	128	139545
SRR14572852	129	153326
SRR14572852	130	172913
SRR14572852	131	200792
SRR14572852	132	238984
SRR14572852	133	267134
SRR14572852	134	262845
SRR14572852	135	233755
SRR14572852	136	215684
SRR14572852	137	218455
SRR14572852	138	236982
SRR14572852	139	257675
SRR14572852	140	280745
SRR14572852	141	302713
SRR14572852	142	321111
SRR14572852	143	330780
SRR14572852	144	330646
SRR14572852	145	320443
SRR14572852	146	306096
SRR14572852	147	298727
SRR14572852	148	306858
SRR14572852	149	325752
SRR14572852	150	349117
SRR14572852	151	363668
SRR14572852	152	373227
SRR14572852	153	377471
SRR14572852	154	371279
SRR14572852	155	365606
SRR14572852	156	367733
SRR14572852	157	371064
SRR14572852	158	382091
SRR14572852	159	392433
SRR14572852	160	403234
SRR14572852	161	408868
SRR14572852	162	409377
SRR14572852	163	405615
SRR14572852	164	400529
SRR14572852	165	396660
SRR14572852	166	396688
SRR14572852	167	397551
SRR14572852	168	404552
SRR14572852	169	408608
SRR14572852	170	411957
SRR14572852	171	415899
SRR14572852	172	417407
SRR14572852	173	418981
SRR14572852	174	419122
SRR14572852	175	418936
SRR14572852	176	421179
SRR14572852	177	425119
SRR14572852	178	428600
SRR14572852	179	433835
SRR14572852	180	435527
SRR14572852	181	437872
SRR14572852	182	439195
SRR14572852	183	441881
SRR14572852	184	443618
SRR14572852	185	446046
SRR14572852	186	447565
SRR14572852	187	452180
SRR14572852	188	455126
SRR14572852	189	460030
SRR14572852	190	461623
SRR14572852	191	466509
SRR14572852	192	469179
SRR14572852	193	471915
SRR14572852	194	474039
SRR14572852	195	479763
SRR14572852	196	482370
SRR14572852	197	485608
SRR14572852	198	490689
SRR14572852	199	496562
SRR14572852	200	500440
SRR14572852	201	503615
SRR14572852	202	506157
SRR14572852	203	509272
SRR14572852	204	512600
SRR14572852	205	516536
SRR14572852	206	522994
SRR14572852	207	526819
SRR14572852	208	528887
SRR14572852	209	536195
SRR14572852	210	539923
SRR14572852	211	544066
SRR14572852	212	550599
SRR14572852	213	552432
SRR14572852	214	557226
SRR14572852	215	562343
SRR14572852	216	566087
SRR14572852	217	569886
SRR14572852	218	578086
SRR14572852	219	582081
SRR14572852	220	588424
SRR14572852	221	593521
SRR14572852	222	597604
SRR14572852	223	601161
SRR14572852	224	606133
SRR14572852	225	611059
SRR14572852	226	621851
SRR14572852	227	624098
SRR14572852	228	634506
SRR14572852	229	642645
SRR14572852	230	652777
SRR14572852	231	652727
SRR14572852	232	667465
SRR14572852	233	675102
SRR14572852	234	696667
SRR14572852	235	693167
SRR14572852	236	708857
SRR14572852	237	710598
SRR14572852	238	777065
SRR14572852	239	753125
SRR14572852	240	831082
SRR14572852	241	780740
SRR14572852	242	804454
SRR14572852	243	935414
SRR14572852	244	1206732
SRR14572852	245	1929868
SRR14572852	246	4297741
SRR14572852	247	11664106
SRR14572852	248	31457686
SRR14572852	249	126645328
SRR14572852	250	265471296
