readGroup	readLength	count
SRR14572852	42	1099
SRR14572852	43	1214
SRR14572852	44	1307
SRR14572852	45	1503
SRR14572852	46	1623
SRR14572852	47	1783
SRR14572852	48	1992
SRR14572852	49	2276
SRR14572852	50	2405
SRR14572852	51	2465
SRR14572852	52	2449
SRR14572852	53	2601
SRR14572852	54	2738
SRR14572852	55	2945
SRR14572852	56	3209
SRR14572852	57	3353
SRR14572852	58	3617
SRR14572852	59	4048
SRR14572852	60	4087
SRR14572852	61	4002
SRR14572852	62	3963
SRR14572852	63	4314
SRR14572852	64	4175
SRR14572852	65	4646
SRR14572852	66	5017
SRR14572852	67	5067
SRR14572852	68	5540
SRR14572852	69	6165
SRR14572852	70	6141
SRR14572852	71	6334
SRR14572852	72	6172
SRR14572852	73	5954
SRR14572852	74	6169
SRR14572852	75	6447
SRR14572852	76	7103
SRR14572852	77	7724
SRR14572852	78	9301
SRR14572852	79	12059
SRR14572852	80	14333
SRR14572852	81	14096
SRR14572852	82	11653
SRR14572852	83	10203
SRR14572852	84	9734
SRR14572852	85	10185
SRR14572852	86	10666
SRR14572852	87	11604
SRR14572852	88	13043
SRR14572852	89	15852
SRR14572852	90	21022
SRR14572852	91	26163
SRR14572852	92	27358
SRR14572852	93	23599
SRR14572852	94	20668
SRR14572852	95	20304
SRR14572852	96	22058
SRR14572852	97	24679
SRR14572852	98	28244
SRR14572852	99	32921
SRR14572852	100	38146
SRR14572852	101	41969
SRR14572852	102	42632
SRR14572852	103	43310
SRR14572852	104	41466
SRR14572852	105	40665
SRR14572852	106	42680
SRR14572852	107	46704
SRR14572852	108	52758
SRR14572852	109	59372
SRR14572852	110	68430
SRR14572852	111	79586
SRR14572852	112	81822
SRR14572852	113	78147
SRR14572852	114	72602
SRR14572852	115	72263
SRR14572852	116	76712
SRR14572852	117	83748
SRR14572852	118	92227
SRR14572852	119	106086
SRR14572852	120	127489
SRR14572852	121	153751
SRR14572852	122	171407
SRR14572852	123	167537
SRR14572852	124	144364
SRR14572852	125	126350
SRR14572852	126	123092
SRR14572852	127	129941
SRR14572852	128	138668
SRR14572852	129	152168
SRR14572852	130	171822
SRR14572852	131	199634
SRR14572852	132	238623
SRR14572852	133	266867
SRR14572852	134	263126
SRR14572852	135	233534
SRR14572852	136	215001
SRR14572852	137	217089
SRR14572852	138	235981
SRR14572852	139	256451
SRR14572852	140	279942
SRR14572852	141	301990
SRR14572852	142	320933
SRR14572852	143	330703
SRR14572852	144	330610
SRR14572852	145	320364
SRR14572852	146	305318
SRR14572852	147	298094
SRR14572852	148	305720
SRR14572852	149	324786
SRR14572852	150	348326
SRR14572852	151	363240
SRR14572852	152	373137
SRR14572852	153	377106
SRR14572852	154	370975
SRR14572852	155	365381
SRR14572852	156	366780
SRR14572852	157	370549
SRR14572852	158	381500
SRR14572852	159	391699
SRR14572852	160	402745
SRR14572852	161	408624
SRR14572852	162	409437
SRR14572852	163	405835
SRR14572852	164	399752
SRR14572852	165	396182
SRR14572852	166	396571
SRR14572852	167	397121
SRR14572852	168	404164
SRR14572852	169	407785
